,nonadapt,adapt,novel
965,j,j,None
966,None,None,None
967,None,None,None
968,None,None,None
969,j,j,None
970,None,None,j
971,None,None,None
972,None,None,j
973,j,j,j
974,None,None,None
975,None,None,j
976,None,None,None
977,None,None,None
978,None,None,None
979,None,None,None
980,None,None,None
981,None,None,None
982,None,None,None
983,None,None,None
984,None,None,None
985,None,None,None
986,None,None,None
987,None,None,None
988,None,None,None
989,None,None,None
990,None,None,None
991,None,None,None
992,None,None,None
993,None,None,None
994,None,None,None
995,None,None,None
996,None,None,None
997,None,None,None
998,None,None,None
999,None,None,None
1000,j,j,j
1001,None,None,j
1002,None,None,None
1003,None,None,None
1004,j,j,j
1005,None,None,None
1006,None,None,None
1007,None,None,None
1008,None,None,None
1009,None,None,None
1010,None,None,None
1011,None,None,None
1012,None,None,None
1013,None,None,None
1014,None,None,None
1015,None,None,None
1016,None,None,None
1017,None,None,None
1018,None,None,None
1019,None,None,None
1020,None,None,None
1021,None,None,None
1022,None,None,None
1023,None,None,None
1024,None,None,None
1025,None,None,None
1026,None,j,j
1027,None,None,None
1028,None,None,None
1029,None,None,None
1030,None,None,None
1031,None,None,None
1032,None,None,j
1033,None,None,None
1034,None,None,None
1035,None,None,None
1036,None,j,j
1037,None,None,j
1038,None,None,None
1039,None,None,None
1040,None,j,j
1041,None,None,None
1042,None,None,None
1043,None,None,None
1044,None,None,None
1045,None,None,None
1046,None,None,None
1047,None,None,None
1048,None,None,None
1049,None,None,None
1050,None,None,None
1051,None,None,None
1052,None,None,None
1053,None,None,None
1054,None,None,None
1055,None,None,None
1056,None,None,None
1057,j,j,j
1058,None,None,None
1059,None,None,None
1060,None,None,None
1061,None,None,None
1062,None,None,None
1063,None,None,j
1064,None,None,None
1065,None,None,None
1066,None,None,None
1067,None,None,None
1068,j,j,j
1069,None,None,None
1070,None,None,None
1071,None,None,None
1072,None,None,None
1073,None,None,None
1074,None,None,None
1075,None,None,None
1076,None,None,None
1077,None,None,None
1078,None,None,None
1079,None,None,None
1080,None,None,None
1081,None,None,None
1082,None,None,None
1083,None,None,None
1084,None,None,None
1085,None,None,None
1086,None,None,None
1087,None,None,None
1088,None,None,None
1089,None,None,None
1090,None,None,None
1091,j,j,None
1092,None,None,None
1093,None,None,None
1094,None,None,None
1095,None,None,None
1096,None,None,None
1097,None,None,None
1098,None,None,None
1099,None,None,None
1100,j,j,j
1101,None,None,None
1102,None,None,None
1103,None,None,None
1104,None,None,None
1105,None,None,None
1106,None,None,None
1107,None,None,None
1108,None,None,None
1109,None,None,None
1110,None,None,None
1111,None,None,None
1112,None,None,None
1113,None,None,None
1114,None,None,None
1115,None,None,None
1116,None,None,None
1117,None,None,None
1118,None,None,None
1119,j,j,j
1120,None,None,None
1121,None,None,None
1122,None,None,None
1123,None,None,None
1124,None,None,None
1125,j,j,j
1126,None,None,None
1127,None,None,None
